Source,/Users/GB080220/workspace/circuits/EffectsPedals/TremoloPedals/Atomizer/hardware/Atomizer.sch
Kicad Rev,Eeschema (5.0.0-3-g5ebb6b6)
Generated Date,Friday, 28 December 2018 at 22:15:21

Title,Not Set
Company,Not Set
Revision,Not Set
Date Issue,Not Set

Reference,Value,Mfr. No:,Mfr:,MouserNo,Package/Case,Type,Diameter,ESR,Tolerance,Voltage Rating DC,Field4,Field5,Library,Library Ref
P_OSCOFF1,B10K,RK09L1140A66,ALPS,688-RK09L1140A66,,1GANG LINEAR 20% FLATTED 1TURN,,,,,,,Device,R_POT
R_OSCOFF1,1K,,,279-CRGP0805F1K0,0805,1%,,,,,,,Device,R
C_BP1,100nF,,,710-885012207098,0805,,,,,,,,Device,C
U_OPTO1,ACPL-217,ACPL-217-50BE,Broadcom / Avago,630-ACPL-217-50BE,,Transistor Output Optocouplers 3000Vrms 50% CTR,,,,,,,Isolator,LTV-357T
SW_ATTACK1,SW_SPDT,108-2MS1T1B1M2QE-EVX,Mountain Switch,108-2MS1T1B1M2QE-EVX,,TOGGLE SPDT ON-ON PC MOUNT,,,,,,,Switch,SW_SPDT
CP_SLOW1,220uF,EEE-FPC221XAP,Panasonic,667-EEE-FPC221XAP,,Aluminium Electrolytic Capacitors - SMD  ,6 mm,160 mOhms,20 %,16 VDC,,,Device,CP
C_BP2,10uF,,,81-GRM21BC81C106KE5K,0805,,,,,,,,Device,C
U_CLK1,ATtiny85-20SU,,,556-ATTINY85-20SU,,,,,,,,,MCU_Microchip_ATtiny,ATtiny85-20SU
R_MODE1,1K,,,279-CRGP0805F1K0,0805,1%,,,,,,,Device,R
D_LEDLO1,LED,,,941-C4SMABGFCR2T3451,,,,,,,,,Device,LED
D_LEDHI1,LED,,,941-C4SMABGFCR2T3451,,,,,,,,,Device,LED
R_MLED1,22K,,,667-ERJ-6ENF2202V,0805,1%,,,,,,,Device,R
D_LO2,1N914_VF1,,,821-1N914BWRH,SOD-123,,,,,,,,Device,D
D_LO1,1N914_VF1,,,821-1N914BWRH,SOD-123,,,,,,,,Device,D
D_HI2,1N914_VF1,,,821-1N914BWRH,SOD-123,,,,,,,,Device,D
D_HI1,1N914_VF1,,,821-1N914BWRH,SOD-123,,,,,,,,Device,D
J_ICSP1,Conn_02x03_Odd_Even,,,538-22-28-4062,,,,,,,,,Connector_Generic,Conn_02x03_Odd_Even
D_LO3,1N914_VF1,,,821-1N914BWRH,SOD-123,,,,,,,,Device,D
D_HI3,1N914_VF1,,,821-1N914BWRH,,,,,,,,,Device,D
SW_MODE1,1-1825910-4,,,506-1-1825910-4,,,,,,,TE CONNECTIVITY,MANUFACTURER RECOMMENDATION,TE_Alcoswitch_Tactile_1-1825910-4,1-1825910-4
SW_EN1,SW_3PDT_on_on,FS57003PLT2B2M2QE,E-Switch,612-FS573PLT2B2M2QE,,3PDT ON-ON LATCHING,,,,,,,sw_custom,SW_3PDT_on_on
J_MAINTOAUX1,Conn_02x05_Counter_Clockwise,,,538-22-28-4102,,,,,,,,,Connector_Generic,Conn_02x05_Counter_Clockwise
J_AUXTOMAIN1,Conn_02x05_Counter_Clockwise,,,538-22-28-4102,,,,,,,,,Connector_Generic,Conn_02x05_Counter_Clockwise
